filename,clean_width_mm,clean_class,blurred_width_mm,blurred_class,restored_width_mm,restored_class
00001,2.3323807579381204,Heavy Crack,3.2249030993194197,Heavy Crack,2.23606797749979,Heavy Crack
00002,1.6,Medium Crack,1.8973665961010278,Medium Crack,1.8,Medium Crack
00003,2.0,Medium Crack,2.778488797889961,Heavy Crack,2.009975124224178,Heavy Crack
00004,2.1633307652783937,Heavy Crack,2.23606797749979,Heavy Crack,2.4000000000000004,Heavy Crack
00005,1.6,Medium Crack,1.788854381999832,Medium Crack,1.8439088914585775,Medium Crack
00006,1.4000000000000001,Medium Crack,1.969771560359221,Medium Crack,1.5231546211727818,Medium Crack
00007,2.80713376952364,Heavy Crack,3.2249030993194197,Heavy Crack,2.4083189157584592,Heavy Crack
00008,1.6,Medium Crack,2.4000000000000004,Heavy Crack,1.7204650534085255,Medium Crack
00009,1.8973665961010278,Medium Crack,2.08806130178211,Heavy Crack,2.08806130178211,Heavy Crack
00010,1.4422205101855958,Medium Crack,1.788854381999832,Medium Crack,1.8,Medium Crack
00011,3.4525353003264136,Heavy Crack,3.6,Heavy Crack,3.736308338453881,Heavy Crack
00012,2.8284271247461903,Heavy Crack,3.2310988842807022,Heavy Crack,2.280350850198276,Heavy Crack
00013,1.8973665961010278,Medium Crack,2.08806130178211,Heavy Crack,1.8973665961010278,Medium Crack
00014,3.4525353003264136,Heavy Crack,3.6055512754639896,Heavy Crack,3.4176014981270124,Heavy Crack
00015,1.4142135623730951,Medium Crack,2.0,Medium Crack,1.6,Medium Crack
00016,1.5231546211727818,Medium Crack,2.039607805437114,Heavy Crack,1.8973665961010278,Medium Crack
00017,1.4000000000000001,Medium Crack,1.8,Medium Crack,1.4422205101855958,Medium Crack
00018,1.788854381999832,Medium Crack,2.4083189157584592,Heavy Crack,1.788854381999832,Medium Crack
00019,0.6000000000000001,Light Crack,0.0,Light Crack,1.6492422502470643,Medium Crack
00020,0.632455532033676,Light Crack,0.0,Light Crack,1.4560219778561037,Medium Crack
00021,0.894427190999916,Light Crack,1.0,Light Crack,1.8439088914585775,Medium Crack
00022,0.8246211251235321,Light Crack,1.0,Light Crack,1.4422205101855958,Medium Crack
00023,2.505992817228334,Heavy Crack,3.0463092423455636,Heavy Crack,2.3409399821439254,Heavy Crack
00024,3.88329756778952,Heavy Crack,4.8166378315169185,Heavy Crack,3.405877273185281,Heavy Crack
00025,1.4142135623730951,Medium Crack,1.9798989873223332,Medium Crack,1.6492422502470643,Medium Crack
00026,1.8,Medium Crack,1.6124515496597098,Medium Crack,1.8439088914585775,Medium Crack
00027,1.0770329614269007,Medium Crack,1.0770329614269007,Medium Crack,1.7204650534085255,Medium Crack
00028,1.341640786499874,Medium Crack,1.264911064067352,Medium Crack,1.6124515496597098,Medium Crack
00029,1.341640786499874,Medium Crack,1.2000000000000002,Medium Crack,1.341640786499874,Medium Crack
00030,1.2806248474865698,Medium Crack,1.6124515496597098,Medium Crack,1.4000000000000001,Medium Crack
00031,1.264911064067352,Medium Crack,1.6,Medium Crack,1.4142135623730951,Medium Crack
00032,1.019803902718557,Medium Crack,1.5231546211727818,Medium Crack,1.4142135623730951,Medium Crack
00033,0.894427190999916,Light Crack,1.0,Light Crack,1.2000000000000002,Medium Crack
00034,0.7211102550927979,Light Crack,0.632455532033676,Light Crack,1.264911064067352,Medium Crack
00035,1.6,Medium Crack,1.6,Medium Crack,1.6492422502470643,Medium Crack
00036,1.4000000000000001,Medium Crack,1.264911064067352,Medium Crack,1.4142135623730951,Medium Crack
00037,1.4000000000000001,Medium Crack,1.2806248474865698,Medium Crack,1.1661903789690602,Medium Crack
00038,1.019803902718557,Medium Crack,1.341640786499874,Medium Crack,1.2000000000000002,Medium Crack
00039,1.264911064067352,Medium Crack,1.4422205101855958,Medium Crack,2.0,Medium Crack
00040,0.8246211251235321,Light Crack,0.0,Light Crack,1.4000000000000001,Medium Crack
00041,1.2000000000000002,Medium Crack,1.4000000000000001,Medium Crack,1.6124515496597098,Medium Crack
00042,2.2,Heavy Crack,2.4000000000000004,Heavy Crack,2.2,Heavy Crack
00043,1.969771560359221,Medium Crack,2.08806130178211,Heavy Crack,2.1540659228538015,Heavy Crack
00044,1.6124515496597098,Medium Crack,1.7088007490635062,Medium Crack,1.7204650534085255,Medium Crack
